CreditScore,Gender,Age,Balance,NumOfProducts,IsActiveMember,CreditAgeRatio,BalanceSalaryRatio,Germany,Spain,Exited
619,0,42,0.0,1,1,14.738095238095237,0.0,0,0,1
608,0,41,83807.86,1,1,14.829268292682928,0.7446769036217226,0,1,0
502,0,42,159660.8,3,0,11.952380952380953,1.4013745268322026,0,0,1
699,0,39,0.0,2,0,17.923076923076923,0.0,0,0,0
850,0,43,125510.82,1,1,19.767441860465116,1.5870550464631954,0,1,0
645,1,44,113755.78,2,0,14.659090909090908,0.7596038935417319,0,1,1
822,1,50,0.0,2,1,16.44,0.0,0,0,0
376,0,29,115046.74,4,0,12.96551724137931,0.9639693974404694,1,0,1
501,1,44,142051.07,2,1,11.386363636363637,1.8955180443151567,0,0,0
684,1,27,134603.88,1,1,25.333333333333332,1.876647055387237,0,0,0
528,1,31,102016.72,2,0,17.032258064516128,1.2723284483928388,0,0,0
497,1,24,0.0,2,0,20.708333333333332,0.0,0,1,0
476,0,34,0.0,2,0,14.0,0.0,0,0,0
549,0,25,0.0,2,0,21.96,0.0,0,0,0
635,0,35,0.0,2,1,18.142857142857142,0.0,0,1,0
616,1,45,143129.41,2,1,13.688888888888888,2.2250195329320728,1,0,0
653,1,58,132602.88,1,0,11.258620689655173,26.01244882465911,1,0,1
549,0,24,0.0,2,1,22.875,0.0,0,1,0
587,1,45,0.0,1,0,13.044444444444444,0.0,0,1,0
726,0,24,0.0,2,1,30.25,0.0,0,0,0
732,1,41,0.0,2,1,17.853658536585368,0.0,0,0,0
636,0,32,0.0,2,0,19.875,0.0,0,1,0
510,0,38,0.0,1,0,13.421052631578947,0.0,0,1,1
669,1,46,0.0,2,1,14.543478260869565,0.0,0,0,0
846,0,38,0.0,1,1,22.263157894736842,0.0,0,0,0
577,1,25,0.0,2,1,23.08,0.0,0,0,0
756,1,36,136815.64,1,1,21.0,0.8045993356345302,1,0,0
571,1,44,0.0,2,0,12.977272727272727,0.0,0,0,0
574,0,43,141349.43,1,1,13.348837209302326,1.4108499439500544,1,0,0
411,1,29,59697.17,2,1,14.172413793103448,1.1161852476693153,0,0,0
591,0,39,0.0,3,0,15.153846153846153,0.0,0,1,1
533,1,36,85311.7,1,1,14.805555555555555,0.5443160872600863,0,0,0
553,1,41,110112.54,2,0,13.487804878048781,1.344494993272796,1,0,0
520,0,42,0.0,2,1,12.380952380952381,0.0,0,1,0
722,0,29,0.0,2,1,24.896551724137932,0.0,0,1,0
475,0,45,134264.04,1,0,10.555555555555555,4.825651017378075,0,0,1
490,1,31,145260.23,1,1,15.806451612903226,1.273466672195592,0,1,0
804,1,33,76548.6,1,1,24.363636363636363,0.7775105900301108,0,1,0
850,1,36,0.0,1,1,23.61111111111111,0.0,0,0,0
582,1,41,70349.48,2,1,14.195121951219512,0.3950574716000153,1,0,0
472,1,40,0.0,1,0,11.8,0.0,0,1,0
465,0,51,122522.32,1,0,9.117647058823529,0.675807546319547,0,0,1
556,0,61,117419.35,1,1,9.114754098360656,1.2471011535059169,0,0,0
834,0,49,131394.56,1,0,17.020408163265305,0.6760170104034784,0,0,1
660,0,61,155931.11,1,1,10.819672131147541,0.9847966118639957,0,1,0
776,0,32,109421.13,2,1,24.25,0.8648697974176844,1,0,0
829,0,27,112045.67,1,1,30.703703703703702,0.9359898539958119,1,0,1
637,0,39,137843.8,1,1,16.333333333333332,1.1719139486562127,1,0,1
550,1,38,103391.38,1,1,14.473684210526315,1.1376926439837616,1,0,0
776,0,37,103769.22,2,0,20.972972972972972,0.5346197344944171,1,0,0
698,1,44,116363.37,2,0,15.863636363636363,0.5875182445487499,1,0,0
585,1,36,146050.97,2,0,16.25,1.6899241731836212,1,0,0
788,0,33,0.0,2,0,23.87878787878788,0.0,0,0,0
655,1,41,125561.97,1,0,15.975609756097562,0.7654306906556375,1,0,1
601,1,42,98495.72,1,0,14.30952380952381,2.4614847121412198,1,0,1
619,1,43,125211.92,1,1,14.395348837209303,1.1040594216637278,0,0,0
656,1,45,127864.4,1,0,14.577777777777778,1.4678907929586371,0,0,0
725,1,19,75888.2,1,0,38.1578947368421,1.6637132443616234,1,0,0
511,0,66,0.0,1,0,7.742424242424242,0.0,0,1,1
614,1,51,40685.92,1,1,12.03921568627451,0.8698167066022907,0,0,0
742,1,35,136857.0,1,0,21.2,1.619426060267494,1,0,0
687,0,27,152328.88,2,0,25.444444444444443,1.2042301811252034,1,0,0
555,1,33,56084.69,2,0,16.818181818181817,0.3136760434798731,0,1,0
684,1,56,78707.16,1,1,12.214285714285714,0.7918355997020474,0,1,0
603,1,26,109166.37,1,1,23.192307692307693,1.17584642592519,1,0,0
751,0,36,169831.46,2,1,20.86111111111111,6.1182094331221295,1,0,0
581,0,34,101633.04,1,0,17.08823529411765,0.9203264539260578,1,0,0
735,1,43,123180.01,2,1,17.093023255813954,0.6263179726295305,1,0,0
661,0,35,150725.53,2,1,18.885714285714286,1.3261455864736704,1,0,0
675,0,21,98373.26,1,0,32.142857142857146,5.404233368126133,0,0,0
738,1,58,133745.44,4,0,12.724137931034482,4.713685060827113,1,0,1
813,1,29,0.0,1,0,28.03448275862069,0.0,0,0,0
